date,capacity_1000m3,storage_1000m3,published_storage_percent,normal_storage_percent,percent_of_normal
2025-06-01,551630,498240,90.3,72.8,124.1
2025-06-11,551630,464830,84.3,68.5,123.0
2025-06-21,551630,432060,78.3,63.2,123.9
2025-07-01,551630,372890,67.6,57.0,118.6
2025-07-11,368490,340990,92.5,83.2,111.3
2025-07-21,368490,352210,95.6,82.5,115.8
2025-08-01,368490,352210,95.6,82.5,115.8
2025-08-11,368490,263280,71.4,77.5,92.2
2025-08-21,368490,231110,62.7,73.8,85.0
2025-09-01,368490,164390,44.6,71.6,62.3
2025-09-11,368490,156520,42.5,71.5,59.4
